Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Fiji,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Fiji,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",496.9270751542237,335.3867390126019,725.8182664305255
Kazakhstan,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Kazakhstan,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",454.0853541017631,303.7183494719837,690.3417013201655
Poland,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Poland,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",189.4289220374547,124.53003652255728,279.7850748031981
Ukraine,2021,All ages,Both,Nutritional deficiencies,DALY rank,20,,
Ukraine,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",287.61653765335626,194.673166048826,410.9611125041332
Japan,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Japan,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",95.36618401422298,66.23665505979648,137.646183165396
Australia,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Australia,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",56.38698078348881,37.2626525199685,89.34362574749663
Germany,2021,All ages,Both,Nutritional deficiencies,DALY rank,18,,
Germany,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",127.56105524479003,42.45038873381995,202.84923041342836
Argentina,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Argentina,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",114.19012110177216,77.5590032038379,174.78962931245368
United States of America,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
United States of America,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",175.68571978280292,132.04804419487326,232.59794858937087
Cuba,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Cuba,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",245.86438887623353,161.79504078601968,360.2791286064457
Peru,2021,All ages,Both,Nutritional deficiencies,DALY rank,18,,
Peru,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",344.64402512073843,258.64190025498175,459.3070087463643
Mexico,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
Mexico,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",261.4334091361182,214.70920836389925,318.82298412853777
Brazil,2021,All ages,Both,Nutritional deficiencies,DALY rank,18,,
Brazil,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",426.8833239615424,301.7057015905954,587.4997708403924
Egypt,2021,All ages,Both,Nutritional deficiencies,DALY rank,18,,
Egypt,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",299.65024294284154,200.63472013108552,433.15101563459496
India,2021,All ages,Both,Nutritional deficiencies,DALY rank,14,,
India,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",1128.4013008026875,792.9380861946507,1568.0804467914127
Angola,2021,All ages,Both,Nutritional deficiencies,DALY rank,16,,
Angola,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",1090.3042612885001,815.2255575637656,1446.3062977146722
Kenya,2021,All ages,Both,Nutritional deficiencies,DALY rank,18,,
Kenya,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",755.4481312594957,615.3058799233607,934.2492066735457
South Africa,2021,All ages,Both,Nutritional deficiencies,DALY rank,19,,
South Africa,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",870.2181786290248,657.1993302573156,1130.4675544682914
Ghana,2021,All ages,Both,Nutritional deficiencies,DALY rank,16,,
Ghana,2021,All ages,Both,Nutritional deficiencies,"DALYs per 100,000",1059.2351510067576,763.1353035521206,1453.0056023625125
China,2021,All ages,Both,Neoplasms,DALY rank,2,,
China,2021,All ages,Both,Neoplasms,"DALYs per 100,000",5006.016508320311,4169.541772541591,5988.068931064523
Indonesia,2021,All ages,Both,Neoplasms,DALY rank,3,,
Indonesia,2021,All ages,Both,Neoplasms,"DALYs per 100,000",2513.159850987246,1987.981458891018,3042.510196176188
Fiji,2021,All ages,Both,Neoplasms,DALY rank,4,,
Fiji,2021,All ages,Both,Neoplasms,"DALYs per 100,000",2579.2532245441903,1935.7030397446886,3369.2208849719505
Kazakhstan,2021,All ages,Both,Neoplasms,DALY rank,3,,
Kazakhstan,2021,All ages,Both,Neoplasms,"DALYs per 100,000",2709.2337826980934,2400.838321334446,3001.575523397535
Poland,2021,All ages,Both,Neoplasms,DALY rank,2,,
Poland,2021,All ages,Both,Neoplasms,"DALYs per 100,000",7165.5613612744155,6558.916265990734,7708.074039821555
Ukraine,2021,All ages,Both,Neoplasms,DALY rank,3,,
Ukraine,2021,All ages,Both,Neoplasms,"DALYs per 100,000",5185.811903214293,3759.0283073692653,6577.029102187374
Japan,2021,All ages,Both,Neoplasms,DALY rank,1,,
Japan,2021,All ages,Both,Neoplasms,"DALYs per 100,000",6244.324571615328,5530.504869117663,6633.988637475715
Australia,2021,All ages,Both,Neoplasms,DALY rank,1,,
Australia,2021,All ages,Both,Neoplasms,"DALYs per 100,000",4418.931635791967,4098.660667889218,4633.328422685426
Germany,2021,All ages,Both,Neoplasms,DALY rank,1,,
Germany,2021,All ages,Both,Neoplasms,"DALYs per 100,000",6147.809532884395,5737.031748935293,6440.896885843553
Argentina,2021,All ages,Both,Neoplasms,DALY rank,3,,
Argentina,2021,All ages,Both,Neoplasms,"DALYs per 100,000",3919.1910110798617,3717.442723729169,4094.4337877248245
United States of America,2021,All ages,Both,Neoplasms,DALY rank,2,,
United States of America,2021,All ages,Both,Neoplasms,"DALYs per 100,000",4826.821627480337,4543.5492013943,5024.192030501738
Cuba,2021,All ages,Both,Neoplasms,DALY rank,3,,
Cuba,2021,All ages,Both,Neoplasms,"DALYs per 100,000",5697.9677151640435,4962.732439872701,6424.806953627353
Peru,2021,All ages,Both,Neoplasms,DALY rank,3,,
Peru,2021,All ages,Both,Neoplasms,"DALYs per 100,000",2590.315175466828,2005.9608044565018,3245.211566159661
Mexico,2021,All ages,Both,Neoplasms,DALY rank,4,,
Mexico,2021,All ages,Both,Neoplasms,"DALYs per 100,000",2414.2724892356487,2142.1024978717123,2691.9071691524564
Brazil,2021,All ages,Both,Neoplasms,DALY rank,3,,
Brazil,2021,All ages,Both,Neoplasms,"DALYs per 100,000",3344.3509061784284,3195.9564606615113,3461.6595870490164
Egypt,2021,All ages,Both,Neoplasms,DALY rank,6,,
Egypt,2021,All ages,Both,Neoplasms,"DALYs per 100,000",1877.8359080105076,1554.8672474909233,2255.1324881677465
India,2021,All ages,Both,Neoplasms,DALY rank,6,,
India,2021,All ages,Both,Neoplasms,"DALYs per 100,000",1847.406028128425,1686.3135802719642,2023.0783961383934
Angola,2021,All ages,Both,Neoplasms,DALY rank,13,,
Angola,2021,All ages,Both,Neoplasms,"DALYs per 100,000",1364.9471488226832,1017.411630936019,1804.275838595288
Kenya,2021,All ages,Both,Neoplasms,DALY rank,10,,
Kenya,2021,All ages,Both,Neoplasms,"DALYs per 100,000",1490.896563910951,1240.7948762150575,1772.8135220402376
South Africa,2021,All ages,Both,Neoplasms,DALY rank,4,,
South Africa,2021,All ages,Both,Neoplasms,"DALYs per 100,000",3131.176759268423,2917.8899054829953,3347.2868984631546
Ghana,2021,All ages,Both,Neoplasms,DALY rank,9,,
Ghana,2021,All ages,Both,Neoplasms,"DALYs per 100,000",1411.3945625568394,1092.1070793997822,1752.1517598771452
China,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
China,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",7043.3329507520075,5949.639493315525,8192.329563327638
Indonesia,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
Indonesia,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",7281.412721938921,6166.845968077881,8475.98273603827
Fiji,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
Fiji,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",8625.159192459794,6782.880721664286,10766.085264973926
Kazakhstan,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
Kazakhstan,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",7694.6923440633645,6952.642820672013,8412.634815460558
Poland,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
Poland,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",7725.623139701423,7026.6414105857075,8359.098010845351
Ukraine,2021,All ages,Both,Cardiovascular diseases,DALY rank,1,,
Ukraine,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",17537.3716749102,13592.759556855935,21593.64728790002
Japan,2021,All ages,Both,Cardiovascular diseases,DALY rank,2,,
Japan,2021,All ages,Both,Cardiovascular diseases,"DALYs per 100,000",4695.926450045294,4028.7175125305303,5152.756185989252
Australia,2021,All ages,Both,Cardiovascular diseases,DALY rank,3,,
