Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Kenya,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",954.9093509412305,614.2474170529681,1447.6174178032
South Africa,2021,All ages,Both,Neurological disorders,DALY rank,15,,
South Africa,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1178.2535854648477,707.9551889336632,1880.5121475802682
Ghana,2021,All ages,Both,Neurological disorders,DALY rank,15,,
Ghana,2021,All ages,Both,Neurological disorders,"DALYs per 100,000",1071.2772316630162,590.6006664345756,1773.559564837733
China,2021,All ages,Both,Mental disorders,DALY rank,5,,
China,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1631.2784697458303,1243.7778486652055,2068.414773395392
Indonesia,2021,All ages,Both,Mental disorders,DALY rank,8,,
Indonesia,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1642.5772707996698,1236.27614669635,2093.2631851259735
Fiji,2021,All ages,Both,Mental disorders,DALY rank,8,,
Fiji,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1651.865080952895,1235.5682147470332,2162.0898548897003
Kazakhstan,2021,All ages,Both,Mental disorders,DALY rank,9,,
Kazakhstan,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1652.6321787976067,1246.8489537033734,2136.318362650569
Poland,2021,All ages,Both,Mental disorders,DALY rank,8,,
Poland,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1749.9305687566691,1324.2975237841429,2201.7033188160362
Ukraine,2021,All ages,Both,Mental disorders,DALY rank,5,,
Ukraine,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2283.5679291358274,1669.1106977988552,3002.090007431088
Japan,2021,All ages,Both,Mental disorders,DALY rank,6,,
Japan,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1759.0588727809288,1331.3739618840834,2200.0590885099773
Australia,2021,All ages,Both,Mental disorders,DALY rank,4,,
Australia,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2865.397599109068,2131.622039571493,3660.620661793854
Germany,2021,All ages,Both,Mental disorders,DALY rank,5,,
Germany,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2546.620040365244,1827.5745153549203,3334.5633472764202
Argentina,2021,All ages,Both,Mental disorders,DALY rank,5,,
Argentina,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2242.9991049509495,1639.4264478885864,2919.6382045050427
United States of America,2021,All ages,Both,Mental disorders,DALY rank,5,,
United States of America,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2783.159064215744,2067.6482082433176,3564.4128309504613
Cuba,2021,All ages,Both,Mental disorders,DALY rank,4,,
Cuba,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2431.3071187801525,1807.3073722509089,3227.869058682874
Peru,2021,All ages,Both,Mental disorders,DALY rank,4,,
Peru,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2134.8957756972836,1521.4906185432412,2835.971670333003
Mexico,2021,All ages,Both,Mental disorders,DALY rank,6,,
Mexico,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2173.115282586303,1621.9173614689025,2791.6491004653353
Brazil,2021,All ages,Both,Mental disorders,DALY rank,4,,
Brazil,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2794.5063071137433,2048.8620286066384,3600.645628333384
Egypt,2021,All ages,Both,Mental disorders,DALY rank,3,,
Egypt,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2133.351839980255,1539.987628243426,2787.0504779796343
India,2021,All ages,Both,Mental disorders,DALY rank,5,,
India,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1971.9482479520664,1464.7323981571894,2529.437593368545
Angola,2021,All ages,Both,Mental disorders,DALY rank,8,,
Angola,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1919.4794252352137,1397.1649013657707,2593.263037997102
Kenya,2021,All ages,Both,Mental disorders,DALY rank,6,,
Kenya,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1848.0299511530068,1372.1328270480997,2393.8481119092644
South Africa,2021,All ages,Both,Mental disorders,DALY rank,10,,
South Africa,2021,All ages,Both,Mental disorders,"DALYs per 100,000",2199.838920880066,1636.7217589078975,2861.857984802041
Ghana,2021,All ages,Both,Mental disorders,DALY rank,7,,
Ghana,2021,All ages,Both,Mental disorders,"DALYs per 100,000",1682.2490068669954,1220.1177906331336,2247.331432118252
China,2021,All ages,Both,Musculoskeletal disorders,DALY rank,3,,
China,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2138.0785629767,1528.9261858614154,2925.2459740410955
Indonesia,2021,All ages,Both,Musculoskeletal disorders,DALY rank,6,,
Indonesia,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1718.2801682557626,1250.074473058368,2305.953244349264
Fiji,2021,All ages,Both,Musculoskeletal disorders,DALY rank,9,,
Fiji,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1569.8379471586406,1123.0255677459525,2112.1113226978177
Kazakhstan,2021,All ages,Both,Musculoskeletal disorders,DALY rank,7,,
Kazakhstan,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1818.8068344277071,1320.4981426658233,2460.894148398785
Poland,2021,All ages,Both,Musculoskeletal disorders,DALY rank,4,,
Poland,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3103.3517428476666,2267.595309785191,4203.379069714426
Ukraine,2021,All ages,Both,Musculoskeletal disorders,DALY rank,4,,
Ukraine,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3051.5620834970036,2218.284063134646,4155.0573936097
Japan,2021,All ages,Both,Musculoskeletal disorders,DALY rank,3,,
Japan,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",4061.4990242510767,2948.196523557943,5495.535849067592
Australia,2021,All ages,Both,Musculoskeletal disorders,DALY rank,2,,
Australia,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3233.3430145580537,2374.6039549715215,4332.662460730688
Germany,2021,All ages,Both,Musculoskeletal disorders,DALY rank,3,,
Germany,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3281.4982021519118,2389.102744885745,4446.672635484482
Argentina,2021,All ages,Both,Musculoskeletal disorders,DALY rank,4,,
Argentina,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2883.343807408501,2121.6683834537716,3845.771329839275
United States of America,2021,All ages,Both,Musculoskeletal disorders,DALY rank,4,,
United States of America,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3593.561486008413,2661.2836087106866,4736.8235783993405
Cuba,2021,All ages,Both,Musculoskeletal disorders,DALY rank,5,,
Cuba,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2339.7579678100246,1699.863180251255,3205.3292609510995
Peru,2021,All ages,Both,Musculoskeletal disorders,DALY rank,6,,
Peru,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1826.992612971445,1323.3779126852428,2447.118958641443
Mexico,2021,All ages,Both,Musculoskeletal disorders,DALY rank,5,,
Mexico,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2352.8958323180987,1732.138238951824,3123.7958996084144
Brazil,2021,All ages,Both,Musculoskeletal disorders,DALY rank,5,,
Brazil,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2558.5976404724456,1883.9812683392736,3407.125861877432
Egypt,2021,All ages,Both,Musculoskeletal disorders,DALY rank,7,,
Egypt,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1676.9238754839353,1219.7319164438993,2215.715297832128
India,2021,All ages,Both,Musculoskeletal disorders,DALY rank,7,,
India,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1843.7354372480345,1354.4143420013359,2422.1319472159516
Angola,2021,All ages,Both,Musculoskeletal disorders,DALY rank,18,,
Angola,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",984.164192250136,709.6747417105433,1312.3135696575382
Kenya,2021,All ages,Both,Musculoskeletal disorders,DALY rank,12,,
Kenya,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1201.7540769665889,880.6688713508905,1600.997924155733
South Africa,2021,All ages,Both,Musculoskeletal disorders,DALY rank,12,,
South Africa,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1629.2927002761044,1196.8428776197654,2149.589253470277
Ghana,2021,All ages,Both,Musculoskeletal disorders,DALY rank,12,,
Ghana,2021,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1185.1266013117065,862.9161876259446,1591.2234845701912
China,2021,All ages,Both,Other non-communicable diseases,DALY rank,9,,
China,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1151.545665556165,868.1572561864026,1530.6914437502674
Indonesia,2021,All ages,Both,Other non-communicable diseases,DALY rank,9,,
Indonesia,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1467.944837550662,1174.1762635012549,1844.7281172337728
Fiji,2021,All ages,Both,Other non-communicable diseases,DALY rank,6,,
Fiji,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1744.4312474815479,1410.2362044573842,2168.180412082335
Kazakhstan,2021,All ages,Both,Other non-communicable diseases,DALY rank,6,,
Kazakhstan,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1822.3060502087037,1502.9328088958796,2191.8984089240985
Poland,2021,All ages,Both,Other non-communicable diseases,DALY rank,10,,
Poland,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1369.9230986220052,1033.2198968004122,1795.0849300056511
Ukraine,2021,All ages,Both,Other non-communicable diseases,DALY rank,10,,
Ukraine,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1742.5362978586215,1317.7346744262438,2226.5593159637633
Japan,2021,All ages,Both,Other non-communicable diseases,DALY rank,10,,
Japan,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1053.133462332889,807.091338911859,1363.0554162393692
Australia,2021,All ages,Both,Other non-communicable diseases,DALY rank,7,,
Australia,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1306.218998846896,1020.8777398920414,1679.883392627269
Germany,2021,All ages,Both,Other non-communicable diseases,DALY rank,8,,
Germany,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1647.4793868436477,1277.74419296308,2129.252210070152
Argentina,2021,All ages,Both,Other non-communicable diseases,DALY rank,7,,
Argentina,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1599.8091588243876,1325.547679603038,1979.0873047849184
United States of America,2021,All ages,Both,Other non-communicable diseases,DALY rank,10,,
United States of America,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1475.8865295655382,1214.8053311871608,1821.1276566822937
Cuba,2021,All ages,Both,Other non-communicable diseases,DALY rank,10,,
Cuba,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1493.2497626563747,1138.7011630255174,1978.9482376315643
Peru,2021,All ages,Both,Other non-communicable diseases,DALY rank,7,,
Peru,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1723.3672774144338,1366.7718130368191,2182.7322074626177
Mexico,2021,All ages,Both,Other non-communicable diseases,DALY rank,8,,
Mexico,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1959.4018777983279,1625.4926755180597,2365.787973902852
Brazil,2021,All ages,Both,Other non-communicable diseases,DALY rank,7,,
Brazil,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1922.5236634482974,1606.087996662623,2336.245841988071
Egypt,2021,All ages,Both,Other non-communicable diseases,DALY rank,4,,
Egypt,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",2121.1655728939004,1762.8173078327886,2591.7590486750964
India,2021,All ages,Both,Other non-communicable diseases,DALY rank,8,,
India,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1632.9335771026788,1299.5796710955517,2057.082029385561
Angola,2021,All ages,Both,Other non-communicable diseases,DALY rank,6,,
Angola,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",2660.2595035261156,2028.273960202985,3523.3033003534765
Kenya,2021,All ages,Both,Other non-communicable diseases,DALY rank,7,,
Kenya,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",1794.745692654512,1402.562361974408,2276.5187228881455
South Africa,2021,All ages,Both,Other non-communicable diseases,DALY rank,11,,
South Africa,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",2015.0314326100658,1635.1328715328164,2475.150055671524
Ghana,2021,All ages,Both,Other non-communicable diseases,DALY rank,5,,
Ghana,2021,All ages,Both,Other non-communicable diseases,"DALYs per 100,000",2935.06414222472,2389.5070257786083,3624.0509350374277
China,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,13,,
China,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",525.6298148929316,339.7241578239994,772.5961111049296
Indonesia,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,17,,
Indonesia,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",610.4068314670161,406.94396947539315,875.5076305400386
Fiji,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,15,,
Fiji,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",693.5248578480378,467.8268354460745,1005.873190667377
Kazakhstan,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,18,,
Kazakhstan,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",510.0041268602358,325.39943099013215,746.0132808827929
Poland,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,17,,
Poland,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",450.435911350948,301.13485745659585,642.3846464725302
Ukraine,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,18,,
Ukraine,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",406.6348413633308,278.0076588289316,568.8414514596896
Japan,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,14,,
Japan,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",605.9749711409366,391.4967236970668,864.4025276494948
Australia,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,14,,
Australia,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",578.7242301188131,388.5590407177666,822.8176460412027
Germany,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,13,,
Germany,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",750.1259441528429,522.5032207041094,1035.220176067508
Argentina,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,16,,
Argentina,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",659.5596897042508,473.2907220446761,890.6072468657593
United States of America,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,16,,
United States of America,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",655.8918482589372,455.51109262687606,891.7849075011676
Cuba,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,15,,
Cuba,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",553.4114819005428,370.7953420459107,796.4290220916173
Peru,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,16,,
Peru,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",598.1770088711427,390.03381277749565,859.8427011207208
Mexico,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,17,,
Mexico,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",544.5633740903597,377.50419757243554,763.2387285493153
Brazil,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,16,,
Brazil,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",649.1036642731355,444.1278922053384,924.3958685054631
Egypt,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,16,,
Egypt,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",386.3476286374339,256.4864908425252,546.4138514120751
India,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,20,,
India,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",484.4260949269389,328.96354289842645,687.8156896337264
Angola,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,21,,
Angola,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",514.9550655833696,354.02667582593074,747.2815316720502
Kenya,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,22,,
Kenya,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",565.033127236233,378.5301801976232,817.6613877696176
South Africa,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,21,,
South Africa,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",451.3856259543193,304.813760967231,651.2173255518509
Ghana,2021,All ages,Both,Skin and subcutaneous diseases,DALY rank,21,,
Ghana,2021,All ages,Both,Skin and subcutaneous diseases,"DALYs per 100,000",435.35198142590286,309.0644226331606,607.7300691882637
China,2021,All ages,Both,Sense organ diseases,DALY rank,7,,
China,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",1391.7580683472752,944.2690274455879,1977.9200558368743
Indonesia,2021,All ages,Both,Sense organ diseases,DALY rank,14,,
Indonesia,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",937.02961236361,641.05247683652,1316.4750152514162
Fiji,2021,All ages,Both,Sense organ diseases,DALY rank,14,,
Fiji,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",755.9275553259495,511.61597851458055,1082.990183424737
Kazakhstan,2021,All ages,Both,Sense organ diseases,DALY rank,16,,
Kazakhstan,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",708.8058705527944,482.7138665312877,1002.272080051101
Poland,2021,All ages,Both,Sense organ diseases,DALY rank,12,,
Poland,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",1082.893686037634,759.4179222253767,1510.6094871049852
Ukraine,2021,All ages,Both,Sense organ diseases,DALY rank,12,,
Ukraine,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",1188.3610646014836,838.7416833840853,1657.2945709303958
Japan,2021,All ages,Both,Sense organ diseases,DALY rank,8,,
Japan,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",1284.1207306522826,887.5486022764929,1797.425220369081
Australia,2021,All ages,Both,Sense organ diseases,DALY rank,10,,
Australia,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",904.7306145352768,625.7857642796516,1275.9082329106338
Germany,2021,All ages,Both,Sense organ diseases,DALY rank,12,,
Germany,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",918.9559447694209,644.5563989636527,1286.2654696620716
Argentina,2021,All ages,Both,Sense organ diseases,DALY rank,14,,
Argentina,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",728.4042813224196,506.93906770546414,1023.5645296659275
United States of America,2021,All ages,Both,Sense organ diseases,DALY rank,14,,
United States of America,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",910.3591131699673,641.5699676938502,1254.250778519844
Cuba,2021,All ages,Both,Sense organ diseases,DALY rank,12,,
Cuba,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",1229.0655743867705,865.5716947802143,1723.0309301764933
Peru,2021,All ages,Both,Sense organ diseases,DALY rank,14,,
Peru,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",799.8660932035467,548.6885192178576,1137.4560719828798
Mexico,2021,All ages,Both,Sense organ diseases,DALY rank,15,,
Mexico,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",806.1851970041864,556.6522760054712,1128.5382942336987
Brazil,2021,All ages,Both,Sense organ diseases,DALY rank,13,,
Brazil,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",1058.8789848923316,728.5334666346505,1488.9451980420595
Egypt,2021,All ages,Both,Sense organ diseases,DALY rank,14,,
Egypt,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",626.3344751089468,428.9355458812632,872.0563194952746
India,2021,All ages,Both,Sense organ diseases,DALY rank,15,,
India,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",1114.9091022566017,761.1196817878617,1572.6845340981301
Angola,2021,All ages,Both,Sense organ diseases,DALY rank,22,,
Angola,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",499.2646395472719,332.2529563979887,710.1895637732509
Kenya,2021,All ages,Both,Sense organ diseases,DALY rank,19,,
Kenya,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",728.5117890838638,498.8936256683152,995.9926653605213
South Africa,2021,All ages,Both,Sense organ diseases,DALY rank,18,,
South Africa,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",888.404452202344,582.5558453466572,1292.7613487500187
Ghana,2021,All ages,Both,Sense organ diseases,DALY rank,19,,
Ghana,2021,All ages,Both,Sense organ diseases,"DALYs per 100,000",501.32025059658554,340.5869842834598,694.8772287689329
China,2021,All ages,Both,Transport injuries,DALY rank,11,,
China,2021,All ages,Both,Transport injuries,"DALYs per 100,000",892.8328971449982,760.6853663834924,1035.6647077927332
Indonesia,2021,All ages,Both,Transport injuries,DALY rank,15,,
Indonesia,2021,All ages,Both,Transport injuries,"DALYs per 100,000",923.7180958099049,782.9239684949774,1133.1704675815472
Fiji,2021,All ages,Both,Transport injuries,DALY rank,18,,
Fiji,2021,All ages,Both,Transport injuries,"DALYs per 100,000",567.8895839625264,446.896532046497,704.4360164251702
Kazakhstan,2021,All ages,Both,Transport injuries,DALY rank,17,,
Kazakhstan,2021,All ages,Both,Transport injuries,"DALYs per 100,000",672.3584040657377,602.8284637569934,740.5091270803879
Poland,2021,All ages,Both,Transport injuries,DALY rank,16,,
Poland,2021,All ages,Both,Transport injuries,"DALYs per 100,000",596.7476860513784,537.7324045672233,659.3405484232944
Ukraine,2021,All ages,Both,Transport injuries,DALY rank,15,,
Ukraine,2021,All ages,Both,Transport injuries,"DALYs per 100,000",793.2910842329643,616.8700508027321,971.4094942932114
Japan,2021,All ages,Both,Transport injuries,DALY rank,15,,
Japan,2021,All ages,Both,Transport injuries,"DALYs per 100,000",239.80226916841403,205.6039633440741,281.5543736224393
Australia,2021,All ages,Both,Transport injuries,DALY rank,16,,
Australia,2021,All ages,Both,Transport injuries,"DALYs per 100,000",381.4194314437375,341.7393339426898,425.5023464587106
Germany,2021,All ages,Both,Transport injuries,DALY rank,17,,
Germany,2021,All ages,Both,Transport injuries,"DALYs per 100,000",291.92405616272936,258.06228616046315,330.9041555305282
Argentina,2021,All ages,Both,Transport injuries,DALY rank,15,,
Argentina,2021,All ages,Both,Transport injuries,"DALYs per 100,000",726.3692860483941,672.1288152269095,783.7849839842544
United States of America,2021,All ages,Both,Transport injuries,DALY rank,15,,
United States of America,2021,All ages,Both,Transport injuries,"DALYs per 100,000",819.6437322989475,749.6476174597461,904.9412685401803
Cuba,2021,All ages,Both,Transport injuries,DALY rank,16,,
Cuba,2021,All ages,Both,Transport injuries,"DALYs per 100,000",474.8231096251771,417.31059762026865,537.0656909311592
Peru,2021,All ages,Both,Transport injuries,DALY rank,13,,
Peru,2021,All ages,Both,Transport injuries,"DALYs per 100,000",809.2115542262518,661.6236758278732,975.7055392483903
Mexico,2021,All ages,Both,Transport injuries,DALY rank,14,,
Mexico,2021,All ages,Both,Transport injuries,"DALYs per 100,000",858.6814897032656,779.2979365957578,948.2660830260725
Brazil,2021,All ages,Both,Transport injuries,DALY rank,14,,
Brazil,2021,All ages,Both,Transport injuries,"DALYs per 100,000",1017.1622702705821,965.5056137497703,1070.6417892994841
Egypt,2021,All ages,Both,Transport injuries,DALY rank,12,,
Egypt,2021,All ages,Both,Transport injuries,"DALYs per 100,000",778.813296973762,666.9825896662146,906.4743792615053
India,2021,All ages,Both,Transport injuries,DALY rank,18,,
India,2021,All ages,Both,Transport injuries,"DALYs per 100,000",868.8094365490751,786.096121263623,950.1711686108387
Angola,2021,All ages,Both,Transport injuries,DALY rank,7,,
Angola,2021,All ages,Both,Transport injuries,"DALYs per 100,000",2169.181622714186,1634.9196744920862,2793.714935698448
Kenya,2021,All ages,Both,Transport injuries,DALY rank,21,,
Kenya,2021,All ages,Both,Transport injuries,"DALYs per 100,000",584.3590162406091,488.1960078029572,705.7873682039556
South Africa,2021,All ages,Both,Transport injuries,DALY rank,9,,
South Africa,2021,All ages,Both,Transport injuries,"DALYs per 100,000",2318.1598004038083,2139.169609528739,2505.5633741085976
Ghana,2021,All ages,Both,Transport injuries,DALY rank,14,,
Ghana,2021,All ages,Both,Transport injuries,"DALYs per 100,000",1075.3339575678567,838.219796615374,1363.1024021555816
China,2021,All ages,Both,Unintentional injuries,DALY rank,10,,
China,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1138.7646500489855,941.0540245346481,1374.327421749337
Indonesia,2021,All ages,Both,Unintentional injuries,DALY rank,13,,
Indonesia,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",945.839294276588,809.4137891034039,1094.9465221903788
Fiji,2021,All ages,Both,Unintentional injuries,DALY rank,11,,
Fiji,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1245.8446937748104,1031.3414612615777,1506.152793377346
Kazakhstan,2021,All ages,Both,Unintentional injuries,DALY rank,8,,
Kazakhstan,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1730.9638851712584,1511.3888599564907,2034.0728221377283
Poland,2021,All ages,Both,Unintentional injuries,DALY rank,6,,
Poland,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1836.9288323003302,1439.4393501917746,2309.086825272196
Ukraine,2021,All ages,Both,Unintentional injuries,DALY rank,6,,
Ukraine,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",2252.5644666976937,1739.9305527735446,2812.811027805623
Japan,2021,All ages,Both,Unintentional injuries,DALY rank,7,,
Japan,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1393.4860908341398,1122.9339453928146,1740.4418257248349
Australia,2021,All ages,Both,Unintentional injuries,DALY rank,6,,
Australia,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1737.371021661527,1308.5505288694767,2269.758592690421
Germany,2021,All ages,Both,Unintentional injuries,DALY rank,9,,
Germany,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1645.1106995899856,1304.21748439026,2058.8455808450144
Argentina,2021,All ages,Both,Unintentional injuries,DALY rank,8,,
Argentina,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1335.538963648043,1067.3049803670342,1672.0634382880655
United States of America,2021,All ages,Both,Unintentional injuries,DALY rank,11,,
United States of America,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1307.136767834528,1080.7896731545443,1615.0909078079628
Cuba,2021,All ages,Both,Unintentional injuries,DALY rank,8,,
Cuba,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1646.7835958394915,1387.7119809845024,1972.3481273126495
Peru,2021,All ages,Both,Unintentional injuries,DALY rank,9,,
Peru,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1299.7429927592386,1078.030424938973,1583.763488701674
Mexico,2021,All ages,Both,Unintentional injuries,DALY rank,12,,
Mexico,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1185.2433887878346,991.5961990491211,1408.464414610554
Brazil,2021,All ages,Both,Unintentional injuries,DALY rank,10,,
Brazil,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1268.5622316926351,1086.1457598698512,1499.2697698395805
Egypt,2021,All ages,Both,Unintentional injuries,DALY rank,13,,
Egypt,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",726.9565553643216,619.3234878690879,864.5201315151822
India,2021,All ages,Both,Unintentional injuries,DALY rank,9,,
India,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1567.8146727309609,1332.4142734763855,1789.740967893541
Angola,2021,All ages,Both,Unintentional injuries,DALY rank,12,,
Angola,2021,All ages,Both,Unintentional injuries,"DALYs per 100,000",1450.03346403291,1062.1939721543615,1909.543543014506
